circuit_type,noise_level,mitigated,backend,shots_per_context,zne_scale_factors,fidelity,trace_distance,contextuality_violation,win_probability
contextuality-preserving,low,False,ibm_kingston,256,[1],0.8822067212344448,0.13151041666666663,0.0,0.8884548611111112
baseline,low,False,ibm_kingston,256,[1],0.8645903794112075,0.15017361111111097,0.0,0.8715277777777778
contextuality-preserving,low,True,ibm_kingston,256,"[1, 3]",0.8770183630903785,0.16157902060849608,0.06291818285676062,0.8958797980951956
baseline,low,True,ibm_kingston,256,"[1, 3]",0.8794148856459033,0.15964483026158105,0.06607419306655912,0.8962304658962843
