noise_level,mitigated,query_name,row_index,column_index,win_probability,fidelity,trace_distance
low,False,R2C1,2,1,0.800781,0.796066,0.199219
low,False,R1C3,1,3,0.8125,0.802566,0.214844
low,False,R3C3,3,3,0.8125,0.806224,0.207031
low,True,R1C3,1,3,0.794922,0.76862,0.230469
low,True,R3C1,3,1,0.802734,0.777842,0.248047
low,True,R2C3,2,3,0.826172,0.806877,0.216797
