circuit_type,noise_level,mitigated,backend,shots_per_context,zne_scale_factors,fidelity,trace_distance,contextuality_violation,win_probability
contextuality-preserving,low,False,ibm_kingston,256,[1],0.882207,0.13151,0.0,0.888455
baseline,low,False,ibm_kingston,256,[1],0.86459,0.150174,0.0,0.871528
contextuality-preserving,low,True,ibm_kingston,256,"[1, 3]",0.877018,0.161579,0.062918,0.89588
baseline,low,True,ibm_kingston,256,"[1, 3]",0.879415,0.159645,0.066074,0.89623
