circuit_type,noise_level,mitigated,query_name,shots,row_index,column_index,win_probability,fidelity,trace_distance,success_probability,failure_probability,raw_scale_factor_dists
contextuality-preserving,low,True,R1C3,8192,1,3,0.9751434326171875,0.9745949494305967,0.0321350097656247,0.9751434326171875,0.024856567382812507,"{""1"": {""0000"": 0.0068359375, ""0001"": 0.1151123046875, ""0010"": 0.1248779296875, ""0011"": 0.0054931640625, ""0100"": 0.00634765625, ""0101"": 0.1160888671875, ""0110"": 0.11865234375, ""0111"": 0.006591796875, ""1000"": 0.1185302734375, ""1001"": 0.006103515625, ""1010"": 0.006591796875, ""1011"": 0.1182861328125, ""1100"": 0.1201171875, ""1101"": 0.005859375, ""1110"": 0.0064697265625, ""1111"": 0.1180419921875}, ""3"": {""0000"": 0.0130615234375, ""0001"": 0.1163330078125, ""0010"": 0.1168212890625, ""0011"": 0.0123291015625, ""0100"": 0.0103759765625, ""0101"": 0.1099853515625, ""0110"": 0.112060546875, ""0111"": 0.0123291015625, ""1000"": 0.1168212890625, ""1001"": 0.0113525390625, ""1010"": 0.011474609375, ""1011"": 0.111572265625, ""1100"": 0.110107421875, ""1101"": 0.0128173828125, ""1110"": 0.012939453125, ""1111"": 0.109619140625}, ""5"": {""0000"": 0.0157470703125, ""0001"": 0.10791015625, ""0010"": 0.11083984375, ""0011"": 0.017578125, ""0100"": 0.0189208984375, ""0101"": 0.11669921875, ""0110"": 0.10791015625, ""0111"": 0.0150146484375, ""1000"": 0.1048583984375, ""1001"": 0.02099609375, ""1010"": 0.013916015625, ""1011"": 0.1033935546875, ""1100"": 0.106689453125, ""1101"": 0.0181884765625, ""1110"": 0.0167236328125, ""1111"": 0.1046142578125}}"
contextuality-preserving,low,True,R2C1,8192,2,1,0.9836150607188627,0.9830158090388955,0.029436443522303943,0.9836150607188627,0.01638493928113749,"{""1"": {""0000"": 0.11669921875, ""0001"": 0.1239013671875, ""0010"": 0.005126953125, ""0011"": 0.006591796875, ""0100"": 0.0052490234375, ""0101"": 0.005859375, ""0110"": 0.1181640625, ""0111"": 0.118408203125, ""1000"": 0.1187744140625, ""1001"": 0.1197509765625, ""1010"": 0.006103515625, ""1011"": 0.0048828125, ""1100"": 0.005859375, ""1101"": 0.0069580078125, ""1110"": 0.1195068359375, ""1111"": 0.1181640625}, ""3"": {""0000"": 0.1107177734375, ""0001"": 0.1126708984375, ""0010"": 0.011474609375, ""0011"": 0.0113525390625, ""0100"": 0.01318359375, ""0101"": 0.0140380859375, ""0110"": 0.1090087890625, ""0111"": 0.111083984375, ""1000"": 0.113037109375, ""1001"": 0.1158447265625, ""1010"": 0.0120849609375, ""1011"": 0.012451171875, ""1100"": 0.0118408203125, ""1101"": 0.0142822265625, ""1110"": 0.1094970703125, ""1111"": 0.117431640625}, ""5"": {""0000"": 0.10791015625, ""0001"": 0.1180419921875, ""0010"": 0.02001953125, ""0011"": 0.0177001953125, ""0100"": 0.017578125, ""0101"": 0.0201416015625, ""0110"": 0.1087646484375, ""0111"": 0.102783203125, ""1000"": 0.100830078125, ""1001"": 0.108154296875, ""1010"": 0.018310546875, ""1011"": 0.0167236328125, ""1100"": 0.01953125, ""1101"": 0.0157470703125, ""1110"": 0.104248046875, ""1111"": 0.103515625}}"
contextuality-preserving,low,True,R2C2,8192,2,2,0.9896437574027394,0.9890243219733386,0.026019679897955946,0.9896437574027394,0.010356242597260628,"{""1"": {""0000"": 0.1151123046875, ""0001"": 0.0068359375, ""0010"": 0.125244140625, ""0011"": 0.005126953125, ""0100"": 0.0062255859375, ""0101"": 0.1162109375, ""0110"": 0.0074462890625, ""0111"": 0.1177978515625, ""1000"": 0.1185302734375, ""1001"": 0.006103515625, ""1010"": 0.1190185546875, ""1011"": 0.005859375, ""1100"": 0.0067138671875, ""1101"": 0.1192626953125, ""1110"": 0.0068359375, ""1111"": 0.11767578125}, ""3"": {""0000"": 0.10888671875, ""0001"": 0.0126953125, ""0010"": 0.108642578125, ""0011"": 0.01513671875, ""0100"": 0.0155029296875, ""0101"": 0.1109619140625, ""0110"": 0.016845703125, ""0111"": 0.111328125, ""1000"": 0.11181640625, ""1001"": 0.0137939453125, ""1010"": 0.110595703125, ""1011"": 0.0167236328125, ""1100"": 0.0140380859375, ""1101"": 0.112060546875, ""1110"": 0.015625, ""1111"": 0.1053466796875}, ""5"": {""0000"": 0.1082763671875, ""0001"": 0.0218505859375, ""0010"": 0.1083984375, ""0011"": 0.0174560546875, ""0100"": 0.0213623046875, ""0101"": 0.1092529296875, ""0110"": 0.0224609375, ""0111"": 0.10546875, ""1000"": 0.09765625, ""1001"": 0.01806640625, ""1010"": 0.1068115234375, ""1011"": 0.0208740234375, ""1100"": 0.018798828125, ""1101"": 0.1016845703125, ""1110"": 0.0194091796875, ""1111"": 0.1021728515625}}"
contextuality-preserving,low,True,R2C3,8192,2,3,0.9739685058593751,0.9731497801363697,0.041076660156249584,0.9739685058593751,0.02603149414062501,"{""1"": {""0000"": 0.0068359375, ""0001"": 0.1151123046875, ""0010"": 0.124267578125, ""0011"": 0.006103515625, ""0100"": 0.114013671875, ""0101"": 0.0084228515625, ""0110"": 0.00927734375, ""0111"": 0.115966796875, ""1000"": 0.00732421875, ""1001"": 0.1173095703125, ""1010"": 0.11767578125, ""1011"": 0.0072021484375, ""1100"": 0.1195068359375, ""1101"": 0.0064697265625, ""1110"": 0.0076904296875, ""1111"": 0.1168212890625}, ""3"": {""0000"": 0.015869140625, ""0001"": 0.11181640625, ""0010"": 0.1077880859375, ""0011"": 0.01416015625, ""0100"": 0.1104736328125, ""0101"": 0.015625, ""0110"": 0.0146484375, ""0111"": 0.1107177734375, ""1000"": 0.0145263671875, ""1001"": 0.105712890625, ""1010"": 0.1131591796875, ""1011"": 0.01513671875, ""1100"": 0.1099853515625, ""1101"": 0.0155029296875, ""1110"": 0.0140380859375, ""1111"": 0.11083984375}, ""5"": {""0000"": 0.0213623046875, ""0001"": 0.1053466796875, ""0010"": 0.1009521484375, ""0011"": 0.024169921875, ""0100"": 0.102294921875, ""0101"": 0.02099609375, ""0110"": 0.0205078125, ""0111"": 0.1009521484375, ""1000"": 0.018798828125, ""1001"": 0.109130859375, ""1010"": 0.1033935546875, ""1011"": 0.02197265625, ""1100"": 0.1029052734375, ""1101"": 0.02099609375, ""1110"": 0.0223388671875, ""1111"": 0.1038818359375}}"
contextuality-preserving,low,True,R3C1,8192,3,1,0.9726044113609326,0.9721610036525803,0.03479743128222316,0.9726044113609326,0.027395588639067686,"{""1"": {""0000"": 0.115234375, ""0001"": 0.1224365234375, ""0010"": 0.0072021484375, ""0011"": 0.0074462890625, ""0100"": 0.005615234375, ""0101"": 0.005615234375, ""0110"": 0.1180419921875, ""0111"": 0.118408203125, ""1000"": 0.0048828125, ""1001"": 0.006591796875, ""1010"": 0.1201171875, ""1011"": 0.117919921875, ""1100"": 0.1197509765625, ""1101"": 0.1173095703125, ""1110"": 0.007568359375, ""1111"": 0.005859375}, ""3"": {""0000"": 0.109619140625, ""0001"": 0.1126708984375, ""0010"": 0.0133056640625, ""0011"": 0.0123291015625, ""0100"": 0.01220703125, ""0101"": 0.01318359375, ""0110"": 0.117919921875, ""0111"": 0.1160888671875, ""1000"": 0.0125732421875, ""1001"": 0.0091552734375, ""1010"": 0.115234375, ""1011"": 0.111572265625, ""1100"": 0.1123046875, ""1101"": 0.1109619140625, ""1110"": 0.0103759765625, ""1111"": 0.010498046875}, ""5"": {""0000"": 0.10400390625, ""0001"": 0.1165771484375, ""0010"": 0.0137939453125, ""0011"": 0.016845703125, ""0100"": 0.016845703125, ""0101"": 0.01611328125, ""0110"": 0.10546875, ""0111"": 0.1116943359375, ""1000"": 0.0166015625, ""1001"": 0.0177001953125, ""1010"": 0.10498046875, ""1011"": 0.1121826171875, ""1100"": 0.107666015625, ""1101"": 0.1070556640625, ""1110"": 0.0167236328125, ""1111"": 0.0157470703125}}"
contextuality-preserving,low,True,R3C2,8192,3,2,0.9770753152714606,0.9759010109124256,0.04216423018999937,0.9770753152714606,0.02292468472853948,"{""1"": {""0000"": 0.113037109375, ""0001"": 0.0089111328125, ""0010"": 0.123779296875, ""0011"": 0.006591796875, ""0100"": 0.007080078125, ""0101"": 0.1153564453125, ""0110"": 0.0081787109375, ""0111"": 0.1170654296875, ""1000"": 0.0067138671875, ""1001"": 0.117919921875, ""1010"": 0.0074462890625, ""1011"": 0.117431640625, ""1100"": 0.11865234375, ""1101"": 0.00732421875, ""1110"": 0.1170654296875, ""1111"": 0.0074462890625}, ""3"": {""0000"": 0.111083984375, ""0001"": 0.0137939453125, ""0010"": 0.1060791015625, ""0011"": 0.0147705078125, ""0100"": 0.015625, ""0101"": 0.106689453125, ""0110"": 0.0157470703125, ""0111"": 0.1016845703125, ""1000"": 0.016357421875, ""1001"": 0.1142578125, ""1010"": 0.013671875, ""1011"": 0.113525390625, ""1100"": 0.108154296875, ""1101"": 0.0186767578125, ""1110"": 0.1134033203125, ""1111"": 0.0164794921875}, ""5"": {""0000"": 0.10400390625, ""0001"": 0.0250244140625, ""0010"": 0.109130859375, ""0011"": 0.0189208984375, ""0100"": 0.021728515625, ""0101"": 0.1064453125, ""0110"": 0.022705078125, ""0111"": 0.099365234375, ""1000"": 0.0213623046875, ""1001"": 0.1011962890625, ""1010"": 0.021728515625, ""1011"": 0.1026611328125, ""1100"": 0.101318359375, ""1101"": 0.0174560546875, ""1110"": 0.1041259765625, ""1111"": 0.0228271484375}}"
contextuality-preserving,low,True,R3C3,8192,3,3,0.956756591796875,0.9561302727471906,0.052703857421874827,0.956756591796875,0.043243408203124965,"{""1"": {""0000"": 0.0084228515625, ""0001"": 0.113525390625, ""0010"": 0.1234130859375, ""0011"": 0.0069580078125, ""0100"": 0.1138916015625, ""0101"": 0.008544921875, ""0110"": 0.009765625, ""0111"": 0.115478515625, ""1000"": 0.116943359375, ""1001"": 0.0076904296875, ""1010"": 0.00830078125, ""1011"": 0.1165771484375, ""1100"": 0.009033203125, ""1101"": 0.116943359375, ""1110"": 0.1168212890625, ""1111"": 0.0076904296875}, ""3"": {""0000"": 0.01513671875, ""0001"": 0.1092529296875, ""0010"": 0.108642578125, ""0011"": 0.0130615234375, ""0100"": 0.1075439453125, ""0101"": 0.014404296875, ""0110"": 0.0145263671875, ""0111"": 0.1138916015625, ""1000"": 0.11572265625, ""1001"": 0.013671875, ""1010"": 0.013916015625, ""1011"": 0.1119384765625, ""1100"": 0.0133056640625, ""1101"": 0.1102294921875, ""1110"": 0.109130859375, ""1111"": 0.015625}, ""5"": {""0000"": 0.0189208984375, ""0001"": 0.1014404296875, ""0010"": 0.1036376953125, ""0011"": 0.018798828125, ""0100"": 0.1044921875, ""0101"": 0.021240234375, ""0110"": 0.0172119140625, ""0111"": 0.1080322265625, ""1000"": 0.1114501953125, ""1001"": 0.021484375, ""1010"": 0.022216796875, ""1011"": 0.0980224609375, ""1100"": 0.0216064453125, ""1101"": 0.105224609375, ""1110"": 0.1055908203125, ""1111"": 0.0206298828125}}"
baseline,low,True,R1C1,8192,1,1,0.97491455078125,0.9743213653817998,0.030746459960937278,0.97491455078125,0.02508544921874998,"{""1"": {""0000"": 0.1156005859375, ""0001"": 0.1234130859375, ""0010"": 0.0062255859375, ""0011"": 0.007080078125, ""0100"": 0.1162109375, ""0101"": 0.118896484375, ""0110"": 0.006591796875, ""0111"": 0.0059814453125, ""1000"": 0.0048828125, ""1001"": 0.0064697265625, ""1010"": 0.1195068359375, ""1011"": 0.11865234375, ""1100"": 0.00634765625, ""1101"": 0.0067138671875, ""1110"": 0.11962890625, ""1111"": 0.1177978515625}, ""3"": {""0000"": 0.1082763671875, ""0001"": 0.1177978515625, ""0010"": 0.0126953125, ""0011"": 0.01220703125, ""0100"": 0.10888671875, ""0101"": 0.1224365234375, ""0110"": 0.011474609375, ""0111"": 0.0123291015625, ""1000"": 0.0111083984375, ""1001"": 0.012939453125, ""1010"": 0.111572265625, ""1011"": 0.1116943359375, ""1100"": 0.0135498046875, ""1101"": 0.011474609375, ""1110"": 0.1085205078125, ""1111"": 0.113037109375}, ""5"": {""0000"": 0.11279296875, ""0001"": 0.112060546875, ""0010"": 0.0181884765625, ""0011"": 0.0181884765625, ""0100"": 0.103759765625, ""0101"": 0.1026611328125, ""0110"": 0.0169677734375, ""0111"": 0.01806640625, ""1000"": 0.0201416015625, ""1001"": 0.0162353515625, ""1010"": 0.1064453125, ""1011"": 0.107177734375, ""1100"": 0.0177001953125, ""1101"": 0.015869140625, ""1110"": 0.10888671875, ""1111"": 0.1048583984375}}"
baseline,low,True,R1C2,8192,1,2,0.9844426550796858,0.983851915401138,0.028342018504732436,0.9844426550796858,0.01555734492031422,"{""1"": {""0000"": 0.11181640625, ""0001"": 0.0101318359375, ""0010"": 0.1229248046875, ""0011"": 0.0074462890625, ""0100"": 0.1138916015625, ""0101"": 0.008544921875, ""0110"": 0.1170654296875, ""0111"": 0.0081787109375, ""1000"": 0.0081787109375, ""1001"": 0.116455078125, ""1010"": 0.0076904296875, ""1011"": 0.1171875, ""1100"": 0.009765625, ""1101"": 0.1162109375, ""1110"": 0.0096435546875, ""1111"": 0.1148681640625}, ""3"": {""0000"": 0.100830078125, ""0001"": 0.0198974609375, ""0010"": 0.1102294921875, ""0011"": 0.0191650390625, ""0100"": 0.104248046875, ""0101"": 0.0213623046875, ""0110"": 0.1041259765625, ""0111"": 0.0223388671875, ""1000"": 0.0184326171875, ""1001"": 0.1080322265625, ""1010"": 0.0203857421875, ""1011"": 0.1002197265625, ""1100"": 0.0184326171875, ""1101"": 0.1119384765625, ""1110"": 0.02099609375, ""1111"": 0.099365234375}, ""5"": {""0000"": 0.101806640625, ""0001"": 0.0264892578125, ""0010"": 0.0968017578125, ""0011"": 0.02880859375, ""0100"": 0.0966796875, ""0101"": 0.027587890625, ""0110"": 0.099365234375, ""0111"": 0.0242919921875, ""1000"": 0.0263671875, ""1001"": 0.0980224609375, ""1010"": 0.028076171875, ""1011"": 0.1021728515625, ""1100"": 0.029052734375, ""1101"": 0.0916748046875, ""1110"": 0.0281982421875, ""1111"": 0.0946044921875}}"
baseline,low,True,R1C3,8192,1,3,0.9690093994140625,0.9677967919934711,0.047897338867187327,0.9690093994140625,0.030990600585937462,"{""1"": {""0000"": 0.0079345703125, ""0001"": 0.114013671875, ""0010"": 0.1236572265625, ""0011"": 0.0067138671875, ""0100"": 0.007568359375, ""0101"": 0.1148681640625, ""0110"": 0.1175537109375, ""0111"": 0.0076904296875, ""1000"": 0.1171875, ""1001"": 0.0074462890625, ""1010"": 0.007568359375, ""1011"": 0.1173095703125, ""1100"": 0.119140625, ""1101"": 0.0068359375, ""1110"": 0.0078125, ""1111"": 0.11669921875}, ""3"": {""0000"": 0.01513671875, ""0001"": 0.1138916015625, ""0010"": 0.1053466796875, ""0011"": 0.0147705078125, ""0100"": 0.0133056640625, ""0101"": 0.111083984375, ""0110"": 0.1064453125, ""0111"": 0.0150146484375, ""1000"": 0.11181640625, ""1001"": 0.0159912109375, ""1010"": 0.0146484375, ""1011"": 0.1119384765625, ""1100"": 0.10595703125, ""1101"": 0.012451171875, ""1110"": 0.0184326171875, ""1111"": 0.11376953125}, ""5"": {""0000"": 0.0255126953125, ""0001"": 0.0986328125, ""0010"": 0.10205078125, ""0011"": 0.0223388671875, ""0100"": 0.0223388671875, ""0101"": 0.1060791015625, ""0110"": 0.1004638671875, ""0111"": 0.0225830078125, ""1000"": 0.1033935546875, ""1001"": 0.0235595703125, ""1010"": 0.02099609375, ""1011"": 0.10107421875, ""1100"": 0.0999755859375, ""1101"": 0.0225830078125, ""1110"": 0.0240478515625, ""1111"": 0.1043701171875}}"
