circuit_type,noise_level,mitigated,query_name,shots,row_index,column_index,win_probability,fidelity,trace_distance,success_probability,failure_probability,raw_scale_factor_dists
contextuality-preserving,low,True,R1C3,8192,1,3,0.9759826660156249,0.9742816860281754,0.046951293945312285,0.9759826660156249,0.02401733398437503,"{""1"": {""0000"": 0.0068359375, ""0001"": 0.1151123046875, ""0010"": 0.1248779296875, ""0011"": 0.0054931640625, ""0100"": 0.00634765625, ""0101"": 0.1160888671875, ""0110"": 0.11865234375, ""0111"": 0.006591796875, ""1000"": 0.1185302734375, ""1001"": 0.006103515625, ""1010"": 0.006591796875, ""1011"": 0.1182861328125, ""1100"": 0.1201171875, ""1101"": 0.005859375, ""1110"": 0.0064697265625, ""1111"": 0.1180419921875}, ""3"": {""0000"": 0.0113525390625, ""0001"": 0.1142578125, ""0010"": 0.1083984375, ""0011"": 0.0120849609375, ""0100"": 0.01318359375, ""0101"": 0.1181640625, ""0110"": 0.1068115234375, ""0111"": 0.0111083984375, ""1000"": 0.1123046875, ""1001"": 0.0125732421875, ""1010"": 0.011962890625, ""1011"": 0.11279296875, ""1100"": 0.1114501953125, ""1101"": 0.0118408203125, ""1110"": 0.011962890625, ""1111"": 0.1197509765625}, ""5"": {""0000"": 0.0184326171875, ""0001"": 0.1063232421875, ""0010"": 0.1156005859375, ""0011"": 0.016845703125, ""0100"": 0.0169677734375, ""0101"": 0.105224609375, ""0110"": 0.1119384765625, ""0111"": 0.014892578125, ""1000"": 0.107177734375, ""1001"": 0.01611328125, ""1010"": 0.0185546875, ""1011"": 0.111328125, ""1100"": 0.10400390625, ""1101"": 0.0159912109375, ""1110"": 0.0150146484375, ""1111"": 0.1055908203125}}"
contextuality-preserving,low,True,R2C1,8192,2,1,0.9829376515255478,0.9825624455708097,0.02565070216367007,0.9829376515255478,0.017062348474452215,"{""1"": {""0000"": 0.11669921875, ""0001"": 0.1239013671875, ""0010"": 0.005126953125, ""0011"": 0.006591796875, ""0100"": 0.0052490234375, ""0101"": 0.005859375, ""0110"": 0.1181640625, ""0111"": 0.118408203125, ""1000"": 0.1187744140625, ""1001"": 0.1197509765625, ""1010"": 0.006103515625, ""1011"": 0.0048828125, ""1100"": 0.005859375, ""1101"": 0.0069580078125, ""1110"": 0.1195068359375, ""1111"": 0.1181640625}, ""3"": {""0000"": 0.1103515625, ""0001"": 0.1141357421875, ""0010"": 0.010986328125, ""0011"": 0.0128173828125, ""0100"": 0.01318359375, ""0101"": 0.013427734375, ""0110"": 0.118896484375, ""0111"": 0.112060546875, ""1000"": 0.114013671875, ""1001"": 0.1114501953125, ""1010"": 0.0128173828125, ""1011"": 0.012451171875, ""1100"": 0.0123291015625, ""1101"": 0.011474609375, ""1110"": 0.1107177734375, ""1111"": 0.10888671875}, ""5"": {""0000"": 0.100830078125, ""0001"": 0.1085205078125, ""0010"": 0.01708984375, ""0011"": 0.0174560546875, ""0100"": 0.019287109375, ""0101"": 0.0150146484375, ""0110"": 0.11083984375, ""0111"": 0.1090087890625, ""1000"": 0.1072998046875, ""1001"": 0.103515625, ""1010"": 0.0191650390625, ""1011"": 0.015625, ""1100"": 0.02001953125, ""1101"": 0.0184326171875, ""1110"": 0.114013671875, ""1111"": 0.1038818359375}}"
contextuality-preserving,low,True,R2C2,8192,2,2,0.9763302780277265,0.9755064809999038,0.03862724763226505,0.9763302780277265,0.02366972197227346,"{""1"": {""0000"": 0.1151123046875, ""0001"": 0.0068359375, ""0010"": 0.125244140625, ""0011"": 0.005126953125, ""0100"": 0.0062255859375, ""0101"": 0.1162109375, ""0110"": 0.0074462890625, ""0111"": 0.1177978515625, ""1000"": 0.1185302734375, ""1001"": 0.006103515625, ""1010"": 0.1190185546875, ""1011"": 0.005859375, ""1100"": 0.0067138671875, ""1101"": 0.1192626953125, ""1110"": 0.0068359375, ""1111"": 0.11767578125}, ""3"": {""0000"": 0.10986328125, ""0001"": 0.0133056640625, ""0010"": 0.108154296875, ""0011"": 0.0130615234375, ""0100"": 0.0147705078125, ""0101"": 0.11572265625, ""0110"": 0.01318359375, ""0111"": 0.1119384765625, ""1000"": 0.1116943359375, ""1001"": 0.0128173828125, ""1010"": 0.1168212890625, ""1011"": 0.0146484375, ""1100"": 0.012939453125, ""1101"": 0.1082763671875, ""1110"": 0.0128173828125, ""1111"": 0.1099853515625}, ""5"": {""0000"": 0.1080322265625, ""0001"": 0.0216064453125, ""0010"": 0.107666015625, ""0011"": 0.02099609375, ""0100"": 0.022705078125, ""0101"": 0.113525390625, ""0110"": 0.0216064453125, ""0111"": 0.100830078125, ""1000"": 0.0989990234375, ""1001"": 0.018798828125, ""1010"": 0.106201171875, ""1011"": 0.0181884765625, ""1100"": 0.0203857421875, ""1101"": 0.09814453125, ""1110"": 0.020263671875, ""1111"": 0.10205078125}}"
contextuality-preserving,low,True,R2C3,8192,2,3,0.9804869862386723,0.9797527291483661,0.03494111006011005,0.9804869862386723,0.019513013761327924,"{""1"": {""0000"": 0.0068359375, ""0001"": 0.1151123046875, ""0010"": 0.124267578125, ""0011"": 0.006103515625, ""0100"": 0.114013671875, ""0101"": 0.0084228515625, ""0110"": 0.00927734375, ""0111"": 0.115966796875, ""1000"": 0.00732421875, ""1001"": 0.1173095703125, ""1010"": 0.11767578125, ""1011"": 0.0072021484375, ""1100"": 0.1195068359375, ""1101"": 0.0064697265625, ""1110"": 0.0076904296875, ""1111"": 0.1168212890625}, ""3"": {""0000"": 0.0147705078125, ""0001"": 0.1104736328125, ""0010"": 0.107666015625, ""0011"": 0.015625, ""0100"": 0.10986328125, ""0101"": 0.01611328125, ""0110"": 0.0150146484375, ""0111"": 0.1104736328125, ""1000"": 0.0169677734375, ""1001"": 0.1068115234375, ""1010"": 0.11181640625, ""1011"": 0.015380859375, ""1100"": 0.1087646484375, ""1101"": 0.0155029296875, ""1110"": 0.015869140625, ""1111"": 0.10888671875}, ""5"": {""0000"": 0.019287109375, ""0001"": 0.1005859375, ""0010"": 0.1025390625, ""0011"": 0.023681640625, ""0100"": 0.105224609375, ""0101"": 0.019775390625, ""0110"": 0.0205078125, ""0111"": 0.103271484375, ""1000"": 0.01953125, ""1001"": 0.109130859375, ""1010"": 0.102294921875, ""1011"": 0.0235595703125, ""1100"": 0.1016845703125, ""1101"": 0.0235595703125, ""1110"": 0.0225830078125, ""1111"": 0.102783203125}}"
contextuality-preserving,low,True,R3C1,8192,3,1,0.9705689394748488,0.9701023291537882,0.0366648612361348,0.9705689394748488,0.02943106052515141,"{""1"": {""0000"": 0.115234375, ""0001"": 0.1224365234375, ""0010"": 0.0072021484375, ""0011"": 0.0074462890625, ""0100"": 0.005615234375, ""0101"": 0.005615234375, ""0110"": 0.1180419921875, ""0111"": 0.118408203125, ""1000"": 0.0048828125, ""1001"": 0.006591796875, ""1010"": 0.1201171875, ""1011"": 0.117919921875, ""1100"": 0.1197509765625, ""1101"": 0.1173095703125, ""1110"": 0.007568359375, ""1111"": 0.005859375}, ""3"": {""0000"": 0.111328125, ""0001"": 0.1124267578125, ""0010"": 0.012939453125, ""0011"": 0.0126953125, ""0100"": 0.0115966796875, ""0101"": 0.0133056640625, ""0110"": 0.11767578125, ""0111"": 0.115478515625, ""1000"": 0.0111083984375, ""1001"": 0.00927734375, ""1010"": 0.115478515625, ""1011"": 0.1114501953125, ""1100"": 0.1121826171875, ""1101"": 0.1112060546875, ""1110"": 0.01171875, ""1111"": 0.0101318359375}, ""5"": {""0000"": 0.1033935546875, ""0001"": 0.115234375, ""0010"": 0.01513671875, ""0011"": 0.01708984375, ""0100"": 0.0186767578125, ""0101"": 0.0159912109375, ""0110"": 0.1048583984375, ""0111"": 0.1124267578125, ""1000"": 0.017333984375, ""1001"": 0.01708984375, ""1010"": 0.105224609375, ""1011"": 0.1119384765625, ""1100"": 0.1063232421875, ""1101"": 0.1070556640625, ""1110"": 0.01708984375, ""1111"": 0.01513671875}}"
contextuality-preserving,low,True,R3C2,8192,3,2,0.9768218994140626,0.9756244806931524,0.03990173339843742,0.9768218994140626,0.023178100585937535,"{""1"": {""0000"": 0.113037109375, ""0001"": 0.0089111328125, ""0010"": 0.123779296875, ""0011"": 0.006591796875, ""0100"": 0.007080078125, ""0101"": 0.1153564453125, ""0110"": 0.0081787109375, ""0111"": 0.1170654296875, ""1000"": 0.006591796875, ""1001"": 0.1180419921875, ""1010"": 0.00732421875, ""1011"": 0.1175537109375, ""1100"": 0.118896484375, ""1101"": 0.007080078125, ""1110"": 0.1170654296875, ""1111"": 0.0074462890625}, ""3"": {""0000"": 0.1109619140625, ""0001"": 0.0164794921875, ""0010"": 0.1063232421875, ""0011"": 0.0147705078125, ""0100"": 0.0150146484375, ""0101"": 0.109375, ""0110"": 0.015380859375, ""0111"": 0.11279296875, ""1000"": 0.014892578125, ""1001"": 0.1085205078125, ""1010"": 0.0145263671875, ""1011"": 0.108154296875, ""1100"": 0.1080322265625, ""1101"": 0.0157470703125, ""1110"": 0.1151123046875, ""1111"": 0.013916015625}, ""5"": {""0000"": 0.099365234375, ""0001"": 0.0203857421875, ""0010"": 0.1055908203125, ""0011"": 0.019287109375, ""0100"": 0.02099609375, ""0101"": 0.110107421875, ""0110"": 0.0220947265625, ""0111"": 0.1015625, ""1000"": 0.0201416015625, ""1001"": 0.1058349609375, ""1010"": 0.0230712890625, ""1011"": 0.10595703125, ""1100"": 0.1058349609375, ""1101"": 0.02197265625, ""1110"": 0.0975341796875, ""1111"": 0.020263671875}}"
contextuality-preserving,low,True,R3C3,8192,3,3,0.9554443359374999,0.954861922386852,0.05317687988281228,0.9554443359374999,0.04455566406249999,"{""1"": {""0000"": 0.0084228515625, ""0001"": 0.113525390625, ""0010"": 0.1234130859375, ""0011"": 0.0069580078125, ""0100"": 0.1138916015625, ""0101"": 0.008544921875, ""0110"": 0.009765625, ""0111"": 0.115478515625, ""1000"": 0.116943359375, ""1001"": 0.0076904296875, ""1010"": 0.00830078125, ""1011"": 0.1165771484375, ""1100"": 0.009033203125, ""1101"": 0.116943359375, ""1110"": 0.1168212890625, ""1111"": 0.0076904296875}, ""3"": {""0000"": 0.015380859375, ""0001"": 0.108642578125, ""0010"": 0.1094970703125, ""0011"": 0.0125732421875, ""0100"": 0.1082763671875, ""0101"": 0.0140380859375, ""0110"": 0.013916015625, ""0111"": 0.1141357421875, ""1000"": 0.1163330078125, ""1001"": 0.0145263671875, ""1010"": 0.0128173828125, ""1011"": 0.111572265625, ""1100"": 0.0130615234375, ""1101"": 0.1102294921875, ""1110"": 0.1090087890625, ""1111"": 0.0159912109375}, ""5"": {""0000"": 0.019287109375, ""0001"": 0.1009521484375, ""0010"": 0.104248046875, ""0011"": 0.0189208984375, ""0100"": 0.1055908203125, ""0101"": 0.0201416015625, ""0110"": 0.0169677734375, ""0111"": 0.1082763671875, ""1000"": 0.1103515625, ""1001"": 0.02294921875, ""1010"": 0.0205078125, ""1011"": 0.0987548828125, ""1100"": 0.020263671875, ""1101"": 0.1053466796875, ""1110"": 0.1053466796875, ""1111"": 0.0220947265625}}"
baseline,low,True,R1C1,8192,1,1,0.9782257080078125,0.9776742412124887,0.030303955078124698,0.9782257080078125,0.021774291992187524,"{""1"": {""0000"": 0.1156005859375, ""0001"": 0.1234130859375, ""0010"": 0.0062255859375, ""0011"": 0.007080078125, ""0100"": 0.1162109375, ""0101"": 0.118896484375, ""0110"": 0.006591796875, ""0111"": 0.0059814453125, ""1000"": 0.0048828125, ""1001"": 0.0064697265625, ""1010"": 0.1195068359375, ""1011"": 0.11865234375, ""1100"": 0.00634765625, ""1101"": 0.0067138671875, ""1110"": 0.11962890625, ""1111"": 0.1177978515625}, ""3"": {""0000"": 0.1146240234375, ""0001"": 0.1102294921875, ""0010"": 0.013916015625, ""0011"": 0.01318359375, ""0100"": 0.106689453125, ""0101"": 0.11181640625, ""0110"": 0.0108642578125, ""0111"": 0.013916015625, ""1000"": 0.011962890625, ""1001"": 0.0125732421875, ""1010"": 0.11181640625, ""1011"": 0.1138916015625, ""1100"": 0.0135498046875, ""1101"": 0.0108642578125, ""1110"": 0.120849609375, ""1111"": 0.1092529296875}, ""5"": {""0000"": 0.11083984375, ""0001"": 0.1064453125, ""0010"": 0.017578125, ""0011"": 0.0198974609375, ""0100"": 0.1064453125, ""0101"": 0.10791015625, ""0110"": 0.0167236328125, ""0111"": 0.017333984375, ""1000"": 0.017333984375, ""1001"": 0.0167236328125, ""1010"": 0.102783203125, ""1011"": 0.1112060546875, ""1100"": 0.0189208984375, ""1101"": 0.0181884765625, ""1110"": 0.1065673828125, ""1111"": 0.1051025390625}}"
baseline,low,True,R1C2,8192,1,2,0.9794436989142369,0.9791456312242133,0.02409418079785276,0.9794436989142369,0.020556301085763135,"{""1"": {""0000"": 0.11181640625, ""0001"": 0.0101318359375, ""0010"": 0.122802734375, ""0011"": 0.007568359375, ""0100"": 0.11376953125, ""0101"": 0.0086669921875, ""0110"": 0.116943359375, ""0111"": 0.00830078125, ""1000"": 0.0084228515625, ""1001"": 0.1162109375, ""1010"": 0.0076904296875, ""1011"": 0.1171875, ""1100"": 0.010009765625, ""1101"": 0.115966796875, ""1110"": 0.0098876953125, ""1111"": 0.1146240234375}, ""3"": {""0000"": 0.107666015625, ""0001"": 0.0205078125, ""0010"": 0.1143798828125, ""0011"": 0.0186767578125, ""0100"": 0.1016845703125, ""0101"": 0.021728515625, ""0110"": 0.1072998046875, ""0111"": 0.0206298828125, ""1000"": 0.0185546875, ""1001"": 0.1055908203125, ""1010"": 0.018310546875, ""1011"": 0.1026611328125, ""1100"": 0.01904296875, ""1101"": 0.1024169921875, ""1110"": 0.0196533203125, ""1111"": 0.1011962890625}, ""5"": {""0000"": 0.10009765625, ""0001"": 0.024169921875, ""0010"": 0.09619140625, ""0011"": 0.0299072265625, ""0100"": 0.0987548828125, ""0101"": 0.0313720703125, ""0110"": 0.0972900390625, ""0111"": 0.025634765625, ""1000"": 0.028564453125, ""1001"": 0.096923828125, ""1010"": 0.02978515625, ""1011"": 0.0992431640625, ""1100"": 0.0281982421875, ""1101"": 0.09228515625, ""1110"": 0.02587890625, ""1111"": 0.095703125}}"
baseline,low,True,R1C3,8192,1,3,0.97662440570523,0.9749791320213144,0.046674996952334145,0.97662440570523,0.023375594294770218,"{""1"": {""0000"": 0.0079345703125, ""0001"": 0.114013671875, ""0010"": 0.123779296875, ""0011"": 0.006591796875, ""0100"": 0.007568359375, ""0101"": 0.1148681640625, ""0110"": 0.1175537109375, ""0111"": 0.0076904296875, ""1000"": 0.1171875, ""1001"": 0.0074462890625, ""1010"": 0.007568359375, ""1011"": 0.1173095703125, ""1100"": 0.119140625, ""1101"": 0.0068359375, ""1110"": 0.0078125, ""1111"": 0.11669921875}, ""3"": {""0000"": 0.0145263671875, ""0001"": 0.1114501953125, ""0010"": 0.0999755859375, ""0011"": 0.0147705078125, ""0100"": 0.014892578125, ""0101"": 0.110107421875, ""0110"": 0.1085205078125, ""0111"": 0.0155029296875, ""1000"": 0.11376953125, ""1001"": 0.0152587890625, ""1010"": 0.0152587890625, ""1011"": 0.114013671875, ""1100"": 0.1090087890625, ""1101"": 0.0169677734375, ""1110"": 0.0155029296875, ""1111"": 0.1104736328125}, ""5"": {""0000"": 0.0181884765625, ""0001"": 0.1007080078125, ""0010"": 0.10791015625, ""0011"": 0.021484375, ""0100"": 0.0224609375, ""0101"": 0.1107177734375, ""0110"": 0.0986328125, ""0111"": 0.02001953125, ""1000"": 0.1053466796875, ""1001"": 0.0233154296875, ""1010"": 0.0242919921875, ""1011"": 0.099609375, ""1100"": 0.1038818359375, ""1101"": 0.018798828125, ""1110"": 0.02197265625, ""1111"": 0.1026611328125}}"
