circuit_type,noise_level,mitigated,backend,shots_per_context,zne_scale_factors,fidelity,trace_distance,contextuality_violation,win_probability
contextuality-preserving,low,False,local_aer_noise_model,256,[1],0.945897,0.074219,0.546875,0.949653
baseline,low,False,local_aer_noise_model,256,[1],0.932411,0.080295,0.425781,0.936198
contextuality-preserving,low,True,local_aer_noise_model,256,"[1, 3]",0.95332,0.092287,0.671021,0.963447
baseline,low,True,local_aer_noise_model,256,"[1, 3]",0.952895,0.086502,0.644977,0.960553
