circuit_type,noise_level,gain_win_probability,gain_contextuality,gain_fidelity,gain_trace_distance
baseline,low,0.024355,0.219196,0.020485,0.006207
contextuality-preserving,low,0.013794,0.124146,0.007423,0.018068
