circuit_type,noise_level,mitigated,backend,shots_per_context,zne_scale_factors,fidelity,trace_distance,contextuality_violation,win_probability
contextuality-preserving,low,False,local_aer_noise_model,256,[1],0.9458971751726507,0.07421874999999993,0.5468750000000003,0.9496527777777778
baseline,low,False,local_aer_noise_model,256,[1],0.9324106729088663,0.08029513888888878,0.42578124999999994,0.9361979166666666
contextuality-preserving,low,True,local_aer_noise_model,256,"[1, 3]",0.9533203921285415,0.09228693165380708,0.6710207932100388,0.9634467548011154
baseline,low,True,local_aer_noise_model,256,"[1, 3]",0.9528954568428813,0.08650240917347508,0.6449772036715786,0.9605530226301754
